rank,loc,path,category,purpose,status
1,10679,src/generated/annotations.ts,generated,Tool annotation metadata for all 25 tools (auto-generated by schema:commit),generated
2,2818,src/mcp/registration/prompt-registration.ts,source,40 guided workflow prompt registrations,active
3,2712,src/schemas/action-metadata.ts,source,AI cost/quota/safety metadata per action (2712 lines of structured data),active
4,2530,src/mcp/registration/tool-discovery-hints.ts,source,LLM tool selection hints and decision trees (94KB single file),active
5,2437,src/schemas/analyze.ts,source,Sampling-based analysis tool schema (26 actions),active
6,2292,src/security/operation-scopes-map.ts,source,OAuth scope-to-operation mapping data (data-heavy),active
7,2271,scripts/test-infrastructure/test-data-generator.ts,script,Test data generation utility,active
8,2261,src/services/transaction-manager.ts,source,Atomic multi-op transaction management,active
9,2215,tests/handlers/dimensions.test.ts,test,dimensions handler test suite,test
10,1977,tests/core/request-builder.test.ts,test,Core request builder tests,test
11,1968,src/mcp/registration/tool-handlers.ts,source,Main handler factory + tool call execution (18 legacy wraps),active
12,1965,src/services/google-api.ts,source,Primary Google Sheets/Drive/BigQuery API client,active
13,1826,src/schemas/shared.ts,source,Base types ColorSchema ErrorCodeSchema 69 codes,active
14,1793,tests/handlers/composite.test.ts,test,Composite handler tests,test
15,1788,src/services/session-context.ts,source,Session state management,active
16,1768,src/mcp/sampling.ts,source,MCP Sampling (SEP-1577) server-to-client LLM requests,active
17,1697,src/schemas/composite.ts,source,High-level composite operations schema (21 actions),active
18,1667,tests/handlers/format.test.ts,test,Format handler tests,test
19,1667,src/core/request-builder.ts,source,Google Sheets batchUpdate request builder,active
20,1644,src/handlers/base.ts,source,Abstract BaseHandler class (used by 13 handlers),active
21,1590,tests/handlers/appsscript.test.ts,test,Apps Script handler tests,test
22,1542,tests/integration/http-transport.test.ts,test,HTTP transport integration tests,test
23,1523,tests/handlers/core.test.ts,test,Core handler tests,test
24,1513,tests/handlers/visualize.test.ts,test,Visualize handler tests,test
25,1494,src/handlers/visualize-actions/charts.ts,source,Chart creation and management actions,active
26,1391,src/generated/completions.ts,generated,Action name completions for all 407 actions (auto-generated),generated
27,1361,src/analysis/formula-helpers.ts,source,Formula parsing and analysis utilities,active
28,1356,src/auth/oauth-provider.ts,source,OAuth 2.0 provider implementation,active
29,1334,tests/handlers/compute.test.ts,test,Compute handler tests,test
30,1327,src/handlers/analyze.ts,source,Sampling-based analysis handler dispatcher,active
31,1314,src/connectors/connector-manager.ts,source,External data connector registry,active
32,1311,src/schemas/format.ts,source,Cell formatting schema (25 actions),active
33,1301,tests/handlers/data.test.ts,test,Data handler tests,test
34,1297,src/observability/metrics.ts,source,Performance metrics and monitoring,active
35,1265,src/schemas/data.ts,source,Read/write/clear data operations schema (25 actions),active
